Company,Type,Screen (in),CPU,RAM,OS,Launch Year,Price (USD)
Lenovo,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,No OS,2018,542.82
Lenovo,Notebook,17.3,Intel Core i7-7500U 2.7GHz,6GB,Windows 10,2017,549.21
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,273.65
Lenovo,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,530.03
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,370.19
Acer,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,608.03
Acer,Notebook,15.6,Intel Core i7-7500U 2.7GHz,12GB,Windows 10,2017,421.34
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,701.38
Asus,Ultrabook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,624.65
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,753.81
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,No OS,2017,421.34
Acer,Notebook,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2GB,Chrome OS,2016,127.23
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,758.92
HP,Notebook,17.3,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,312.65
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1169.39
Lenovo,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,472.49
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,830.53
Acer,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Linux,2017,625.93
Dell,Workstation,17.3,Intel Core i7-7820HQ 2.9GHz,16GB,Windows 10,2017,1844.46
Lenovo,Notebook,15.6,AMD A10-Series 9600P 2.4GHz,6GB,Windows 10,2017,319.04
Asus,Ultrabook,15.6,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,938.58
Asus,Notebook,14,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,325.43
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1356.72
Lenovo,Notebook,17.3,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,414.94
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,351.01
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,808.79
Lenovo,Notebook,15.6,Intel Pentium N4200 1.1GHz,4GB,No OS,2016,230.16
HP,2-in-1 Convertible,13.3,Intel Core i7-7600U 2.8GHz,16GB,Windows 10,2017,1262.74
Toshiba,Notebook,15.6,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,666.85
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,523.64
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,299.86
Lenovo,Notebook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,638.72
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,1597.76
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1342.02
Acer,Notebook,15.6,AMD A8-Series 7410 2.2GHz,8GB,Windows 10,2017,299.86
Asus,2-in-1 Convertible,11.6,Intel Celeron N3350 1.1GHz,2GB,Windows 10,2016,175.82
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,539.62
HP,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,1565.79
Lenovo,Notebook,13.3,Intel Celeron Dual Core 3855U 1.6GHz,4GB,Chrome OS,2016,294.04
HP,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,626.57
Acer,Notebook,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,Windows 10,2016,310.09
HP,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,826.05
Lenovo,Notebook,17.3,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,376.58
Asus,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,699.46
HP,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,576.7
Acer,Notebook,15.6,AMD A12-9720P 2.7GHz,8GB,Windows 10,2017,421.34
Lenovo,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,186.69
Acer,Notebook,15.6,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,351.01
Asus,Ultrabook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,671.26
HP,Ultrabook,12.5,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,853.55
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,32GB,Windows 10,2017,1687.27
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,766.59
Toshiba,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,602.92
Asus,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,852.91
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,287.07
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,638.72
HP,Notebook,14,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,810.71
Dell,Ultrabook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,670.69
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,731.43
Asus,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Linux,2016,175.82
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,730.63
Dell,Notebook,15.6,Intel Celeron N3060 1.6GHz,4GB,Linux,2016,175.76
Lenovo,Notebook,15.6,AMD A12-9720P 2.7GHz,12GB,Windows 10,2017,574.78
HP,Notebook,15.6,Intel Core i3-7100U 2.4GHz,8GB,Windows 10,2017,457.78
Lenovo,2-in-1 Convertible,13.9,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,1342.02
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1009.55
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,721.84
HP,Notebook,14,Intel Celeron N3060 1.6GHz,2GB,Windows 10,2016,178.38
Dell,Ultrabook,15.6,Intel Core i7-8650U 1.9GHz,16GB,Windows 10,2018,1028.07
Asus,2-in-1 Convertible,11.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,239.76
Dell,Ultrabook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,423.9
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1296.25
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,833.73
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,900.86
HP,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1111.38
Toshiba,Notebook,15.6,Intel Core i7-6500U 2.5GHz,16GB,Windows 10,2016,897.02
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,620.75
Lenovo,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,No OS,2016,205.87
Dell,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,638.72
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,356.36
Dell,Notebook,14,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,912.37
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,280.68
Asus,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,604.2
Lenovo,Notebook,17.3,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,459.7
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,408.55
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,8GB,No OS,2016,319.04
HP,Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,8GB,Windows 10,2016,248.71
Dell,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,693.71
Lenovo,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,No OS,2017,517.24
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,574.78
HP,Ultrabook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1118.88
Asus,2-in-1 Convertible,15.6,Intel Core i7-7500U 2.7GHz,12GB,Windows 10,2017,702.66
Acer,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,272.37
Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,16GB,Windows 10,2018,1405.95
Lenovo,Notebook,17.3,AMD A8-Series 7410 2.2GHz,4GB,Windows 10,2017,312.65
Dell,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,555.61
HP,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,312.64
Lenovo,Netbook,11.6,Intel Celeron N3450 1.1GHz,4GB,Windows 10,2016,353.57
Dell,Notebook,15.6,Intel Celeron N3060 1.6GHz,4GB,Windows 10,2016,197.56
Asus,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,182.86
Acer,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Linux,2017,540.9
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,761.48
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,257.98
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1058.14
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,702.66
Asus,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1118.18
Lenovo,Ultrabook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1459.02
Lenovo,Notebook,13.3,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,351.01
Dell,Workstation,15.6,Intel Core i5-6440HQ 2.6GHz,8GB,Windows 10,2016,875.28
Dell,Workstation,15.6,Intel Core i7-6820HQ 2.7GHz,8GB,Windows 10,2016,1365.03
Lenovo,2-in-1 Convertible,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1604.15
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,664.3
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1017.22
Acer,Notebook,15.6,Intel Core i5-8250U 1.6GHz,12GB,Windows 10,2018,443.71
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,862.5
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Linux,2017,497.98
HP,Ultrabook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,319.04
Lenovo,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,786.13
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,599.72
Dell,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1733.94
Lenovo,Ultrabook,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1678.32
Lenovo,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,195.64
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,977.58
Lenovo,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,731.75
Acer,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Linux,2017,562
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1437.92
Asus,Ultrabook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1197.52
Toshiba,Ultrabook,13.3,Intel Core i7-6500U 2.5GHz,16GB,Windows 10,2016,1116.96
Dell,Ultrabook,14,Intel Core i7-7600U 2.8GHz,8GB,Windows 10,2017,1074.12
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,261.5
Lenovo,Notebook,11.6,Intel Celeron N3350 1.1GHz,2GB,Windows 10,2016,194.65
Lenovo,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1230.77
Lenovo,Ultrabook,14,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1242.28
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,299.86
Acer,2-in-1 Convertible,13.3,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,504.46
Asus,2-in-1 Convertible,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,593.33
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Linux,2017,382.91
Dell,Notebook,13.3,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,440.52
HP,Ultrabook,14,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,959.04
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,345.22
Lenovo,Ultrabook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,777.07
Lenovo,2-in-1 Convertible,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1214.14
Chuwi,Notebook,12.3,Intel Celeron N3450 1.1GHz,6GB,Windows 10,2016,287.07
HP,Notebook,15.6,Intel Core i7-7820HQ 2.9GHz,8GB,Windows 10,2017,912.37
Asus,Notebook,15.6,Intel Core i3-7100U 2.4GHz,8GB,Linux,2017,381.7
Dell,Gaming,17.3,Intel Core i7-7820HK 2.9GHz,16GB,Windows 10,2017,1789.57
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,741.02
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,730.4
Dell,Ultrabook,14,Intel Core i7-7600U 2.8GHz,8GB,Linux,2017,702.66
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,12GB,Windows 10,2017,1278.08
Mediacom,2-in-1 Convertible,11.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,191.17
Samsung,Netbook,11.6,Intel Celeron N3060 1.6GHz,4GB,Chrome OS,2016,171.99
Lenovo,Notebook,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,645.75
Lenovo,Notebook,14,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,382.98
Lenovo,Workstation,15.6,Intel Core i7-7600U 2.8GHz,16GB,Windows 10,2017,1563.24
Lenovo,Notebook,15.6,Intel Core i7-7820HQ 2.9GHz,16GB,Windows 10,2017,1565.79
Asus,Gaming,17.3,AMD Ryzen 1600 3.2GHz,8GB,Windows 10,2018,1083.72
HP,Notebook,15.6,Intel Celeron N3060 1.6GHz,4GB,Windows 10,2016,221.86
Google,Ultrabook,12.3,Intel Core i7-7Y75 1.3GHz,16GB,Chrome OS,2016,1405.95
Lenovo,Ultrabook,14,Intel Core i7-7500U 2.7GHz,24GB,Windows 10,2017,1522.96
Asus,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Linux,2017,357.4
Lenovo,Notebook,17.3,AMD A6-9220 2.5GHz,8GB,Windows 10,2017,331.83
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,478.88
Lenovo,Ultrabook,12.5,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,913.65
Lenovo,Notebook,15.6,Intel Pentium N4200 1.1GHz,4GB,Windows 10,2016,223.14
HP,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,702.66
Dell,Notebook,14,Intel Core i5-7440HQ 2.8GHz,8GB,Windows 10,2017,753.81
Acer,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Linux,2017,282.47
Dell,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,8GB,Windows 10,2016,1274.24
MSI,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,657.1
Microsoft,Ultrabook,13.5,Intel Core i7-7660U 2.5GHz,16GB,Windows 10 S,2017,1655.3
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,376.58
Dell,Workstation,15.6,Intel Core i7-6820HQ 2.7GHz,16GB,Windows 10,2016,1262.74
HP,Workstation,15.6,Intel Core i7-7820HQ 2.9GHz,8GB,Windows 10,2017,980.78
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,859.94
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,625.93
Dell,2-in-1 Convertible,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,Windows 10,2016,306.25
Dell,Notebook,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1308.13
Microsoft,Ultrabook,13.5,Intel Core m3-7Y30 1.0GHz,4GB,Windows 10 S,2016,632.33
Microsoft,Ultrabook,13.5,Intel Core i7-7660U 2.5GHz,8GB,Windows 10 S,2017,1150.21
HP,Notebook,17.3,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,409.13
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,347.81
Acer,Netbook,11.6,Intel Celeron N3060 1.6GHz,4GB,Windows 10,2016,278.12
Asus,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,478.88
Lenovo,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,No OS,2017,510.85
Lenovo,Notebook,15.6,Intel Core i7-7820HQ 2.9GHz,8GB,Windows 10,2017,1336.26
Asus,Notebook,15.6,Intel Pentium N4200 1.1GHz,4GB,Windows 10,2016,194.37
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,299.86
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,485.27
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,12GB,Windows 10,2017,1086.27
Lenovo,Ultrabook,14,Intel Core i7-6600U 2.6GHz,12GB,Windows 10,2016,1187.93
HP,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1278.08
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,737.82
Google,Ultrabook,12.3,Intel Core i5-7Y57 1.2GHz,8GB,Chrome OS,2016,815.18
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,1177.61
Asus,Notebook,15.6,Intel Core i7-6700HQ 2.6GHz,12GB,Windows 10,2016,830.53
Dell,Notebook,14,Intel Core i3-6100U 2.3GHz,8GB,Windows 10,2016,473.13
Dell,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1539.58
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,872.09
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,431.57
Toshiba,Notebook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,1069.01
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,806.87
Dell,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,375.05
HP,Notebook,13.3,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,464.18
Chuwi,Notebook,15.6,Intel Atom x5-Z8350 1.44GHz,4GB,Windows 10,2018,159.14
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,361.24
Lenovo,Notebook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,670.69
Dell,Workstation,15.6,Intel Core i7-6820HQ 2.7GHz,16GB,Windows 10,2016,1494.82
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1214.14
Lenovo,Ultrabook,12.5,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1149.57
Asus,Ultrabook,12.5,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1246.75
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,647.03
Toshiba,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,32GB,Windows 10,2017,1789.57
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,863.14
Acer,Notebook,15.6,AMD A10-Series 9620P 2.5GHz,8GB,Windows 10,2017,370.19
Asus,Gaming,17.3,Intel Core i7-6700HQ 2.6GHz,24GB,Windows 10,2016,811.35
Lenovo,Ultrabook,12.5,Intel Core i5-6200U 2.3GHz,8GB,Windows 10,2016,702.66
Lenovo,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,574.72
HP,Notebook,14,Intel Core i7-7600U 2.8GHz,8GB,Windows 10,2017,1118.24
Lenovo,Notebook,13.3,Intel Core i3-7100U 2.4GHz,8GB,Windows 10,2017,606.75
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,582.46
Asus,Netbook,11.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10 S,2016,217.38
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,395.76
Lenovo,2-in-1 Convertible,13.9,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,1022.34
Lenovo,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,191.17
Lenovo,Netbook,11.6,Intel Celeron N3060 1.6GHz,4GB,Chrome OS,2016,169.43
Lenovo,Notebook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,606.75
Asus,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,782.58
Acer,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,391.93
HP,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,845.87
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,No OS,2017,734.62
Dell,Ultrabook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,574.78
Acer,Notebook,15.6,Intel Core i7-7500U 2.7GHz,4GB,Windows 10,2017,408.55
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,534.5
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,779.53
Xiaomi,Notebook,15.6,Intel Core i7-8550U 1.8GHz,16GB,No OS,2018,895.07
Asus,Netbook,11.6,Intel Celeron N3350 1.1GHz,2GB,Windows 10,2016,156.64
HP,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,333.41
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,24GB,Windows 10,2017,1897.62
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,568.39
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,961.6
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,894.46
HP,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,894.46
Dell,Notebook,14,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,818.21
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,440.52
Dell,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Linux,2018,568.39
Lenovo,Notebook,14,Intel Core i5-6200U 2.3GHz,8GB,Windows 7,2016,856.74
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,4GB,Windows 10,2017,510.85
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,8GB,No OS,2016,293.47
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,374.03
Dell,Notebook,15.6,Intel Core i5-7440HQ 2.8GHz,8GB,Windows 10,2017,880.4
Dell,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1926.24
Toshiba,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,549.85
Asus,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,830.53
Mediacom,Notebook,13.3,Intel Celeron N3450 1.1GHz,4GB,Windows 10,2016,235.92
Asus,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,1054.3
Dell,Notebook,15.6,Intel Core i7-7600U 2.8GHz,8GB,Windows 10,2017,875.28
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,509.83
HP,Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,Windows 10,2016,255.1
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,12GB,Windows 10,2017,1150.21
Lenovo,Notebook,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,549.21
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,894.46
Dell,Notebook,14,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,470.49
HP,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,732.07
Acer,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Linux,2017,510.21
Asus,Notebook,15.6,AMD E-Series 7110 1.8GHz,4GB,Windows 10,2017,223.14
HP,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,451.07
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,501.9
Lenovo,Notebook,15.6,Intel Core i5-6200U 2.3GHz,4GB,No OS,2016,295.61
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,253.83
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1105.45
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,319.04
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,714.16
Dell,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1725.63
HP,Notebook,17.3,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,347.91
HP,Notebook,17.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,818.38
Asus,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Linux,2016,143.22
